,Unnamed: 0,path,source_text,pred_text,ref_text,ASR_BLEU,COMET,METEOR,BLASER
0,0,common_voice_es_19688053.mp3,habita en etiopía kenia norte de tanzania y uganda,les and e v o p e t,it inhabits ethiopia kenya northern tanzania and uganda,BLEU = 5.52 12.5/7.1/4.2/2.5 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),0.2878424823284149,0.0625,2.1627955436706543
1,1,common_voice_es_19695481.mp3,es profesora de lengua y literatura,he is a teacher of literature and literature,she is a professor of language and literature,BLEU = 16.52 62.5/28.6/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),0.713167130947113,0.5575,3.9413788318634033
2,2,common_voice_es_19856867.mp3,fue creador del consejo de colaboración municipal,he was the head of the municipal corporation,he was the founder of the council of municipal collaboration,BLEU = 21.07 75.0/42.9/16.7/10.0 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10),0.7622881531715393,0.5215419501133786,3.4130067825317383
3,3,common_voice_es_19602219.mp3,el pico y las patas son gris oscuros,and the lakes are white,the beak and legs are dark grey,BLEU = 9.42 60.0/12.5/8.3/6.2 (BP = 0.670 ratio = 0.714 hyp_len = 5 ref_len = 7),0.5279133915901184,0.22058823529411764,3.026261806488037
4,4,common_voice_es_19684323.mp3,es junto con fernando suárez gonzález el último ministro de franco vivo,the last french minister of fernandez,along with fernando suarez gonzalez he is francos last living minister,BLEU = 4.19 33.3/10.0/6.2/4.2 (BP = 0.435 ratio = 0.545 hyp_len = 6 ref_len = 11),0.5647384524345398,0.09523809523809525,2.9872632026672363
5,5,common_voice_es_18402697.mp3,no lo entiendo parece que le da igual una cosa que otra ,who can understand it,i dont understand it looks like he doesnt care about anything,BLEU = 5.55 50.0/33.3/25.0/25.0 (BP = 0.174 ratio = 0.364 hyp_len = 4 ref_len = 11),0.4548742175102234,0.1820388349514563,2.544527053833008
6,6,common_voice_es_19636724.mp3,jugaba de delantero y su primer club fue el rayo vallecano,he was a vatican player,he played as a striker and his first club was rayo vallecano,BLEU = 3.47 60.0/12.5/8.3/6.2 (BP = 0.247 ratio = 0.417 hyp_len = 5 ref_len = 12),0.5049745440483093,0.1327433628318584,2.7129056453704834
7,7,common_voice_es_19720177.mp3,este campus ofrece programas de posgrado,scamper scampers programmes,this campus offers postgraduate programs,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 3 ref_len = 5),0.3478557765483856,0.0,2.6530263423919678
8,8,common_voice_es_20061409.mp3,tiene un medio hermano más joven keller del nuevo matrimonio de su madre,he is a young lady of his mothers marriage,he has a younger step brother keller who was born of his mothers new marriage,BLEU = 10.84 66.7/25.0/14.3/8.3 (BP = 0.513 ratio = 0.600 hyp_len = 9 ref_len = 15),0.5565428137779236,0.39753401360544216,3.170893907546997
9,9,common_voice_es_20025890.mp3,es directora de la asociación cultural escena perú,hes the director of the cultural association,she is the director of the asociacion cultural escena peru,BLEU = 28.32 71.4/50.0/40.0/25.0 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10),0.6357583403587341,0.4989690721649485,3.292757987976074
10,10,common_voice_es_19965992.mp3,su característica principal son sus cuatro manchas blancas sobre el abdomen,main features are white,its main feature are his four white stains on the abdomen,BLEU = 3.65 75.0/16.7/12.5/12.5 (BP = 0.174 ratio = 0.364 hyp_len = 4 ref_len = 11),0.6072162985801697,0.3640776699029126,3.5660343170166016
