,Unnamed: 0,path,source_text,pred_text,ref_text,ASR_BLEU,COMET,METEOR,BLASER
0,0,common_voice_es_19688053.mp3,habita en etiopía kenia norte de tanzania y uganda,lizzie ethiopia cannae north of tanzania and uganda,it inhabits ethiopia kenya northern tanzania and uganda,BLEU = 22.09 50.0/28.6/16.7/10.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),0.6499220728874207,0.46875,3.9007339477539062
1,1,common_voice_es_19695481.mp3,es profesora de lengua y literatura,hes a teacher of literature and literature,she is a professor of language and literature,BLEU = 13.54 57.1/16.7/10.0/6.2 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8),0.6910096406936646,0.39952531645569617,3.8135695457458496
2,2,common_voice_es_19856867.mp3,fue creador del consejo de colaboración municipal,he was the creator of the municipal collaboration,he was the founder of the council of municipal collaboration,BLEU = 23.53 87.5/57.1/16.7/10.0 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10),0.880376935005188,0.6476468138275718,3.932795763015747
3,3,common_voice_es_19602219.mp3,el pico y las patas son gris oscuros,pink and white ones are gray,the beak and legs are dark grey,BLEU = 8.17 33.3/10.0/6.2/4.2 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7),0.5120188593864441,0.21739130434782605,3.6992783546447754
4,4,common_voice_es_19684323.mp3,es junto con fernando suárez gonzález el último ministro de franco vivo,hes according to fernandos horace gonzalez the last minister of franko,along with fernando suarez gonzalez he is francos last living minister,BLEU = 4.93 27.3/5.0/2.8/1.6 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),0.7124491333961487,0.2272727272727273,3.662294864654541
5,5,common_voice_es_18402697.mp3,no lo entiendo parece que le da igual una cosa que otra ,i dont like it,i dont understand it looks like he doesnt care about anything,BLEU = 6.60 100.0/33.3/25.0/25.0 (BP = 0.174 ratio = 0.364 hyp_len = 4 ref_len = 11),0.5841938853263855,0.30643203883495146,2.778362274169922
6,6,common_voice_es_19636724.mp3,jugaba de delantero y su primer club fue el rayo vallecano,he played for dill and chow in his first club,he played as a striker and his first club was rayo vallecano,BLEU = 16.83 60.0/33.3/12.5/7.1 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12),0.4938831031322479,0.4766949152542372,2.6159439086914062
7,7,common_voice_es_19720177.mp3,este campus ofrece programas de posgrado,campus sophists programmes,this campus offers postgraduate programs,BLEU = 14.13 33.3/25.0/25.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 3 ref_len = 5),0.545400083065033,0.10416666666666666,3.6982626914978027
8,8,common_voice_es_20061409.mp3,tiene un medio hermano más joven keller del nuevo matrimonio de su madre,he is a great brother keller of his mothers marriage,he has a younger step brother keller who was born of his mothers new marriage,BLEU = 13.40 80.0/33.3/12.5/7.1 (BP = 0.607 ratio = 0.667 hyp_len = 10 ref_len = 15),0.5249046683311462,0.484375,3.9573259353637695
9,9,common_voice_es_20025890.mp3,es directora de la asociación cultural escena perú,he is the director of the cultural association,she is the director of the asociacion cultural escena peru,BLEU = 42.14 75.0/57.1/50.0/40.0 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10),0.6846025586128235,0.600907029478458,3.546750545501709
10,10,common_voice_es_19965992.mp3,su característica principal son sus cuatro manchas blancas sobre el abdomen,its main character is white for tan,its main feature are his four white stains on the abdomen,BLEU = 8.21 42.9/16.7/10.0/6.2 (BP = 0.565 ratio = 0.636 hyp_len = 7 ref_len = 11),0.5102923512458801,0.2410901467505241,3.2831485271453857
11,11,common_voice_es_19135359.mp3,empezó a escribir muy temprano todavía en la enseñanza básica luego en el liceo,he began writing very temperate but in the basic science later on,he started writing very early first in elementary school then in high school,BLEU = 7.41 33.3/9.1/5.0/2.8 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13),0.47026991844177246,0.3751937984496125,3.3580174446105957
12,12,common_voice_es_19999087.mp3,sus padres eran hippies que se divorciaron cuando ella tenía siete años,his parents were happiest when they had seven years,her parents were hippies who divorced when she was seven,BLEU = 10.15 44.4/12.5/7.1/4.2 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10),0.5510992407798767,0.3188131313131313,3.1468939781188965
13,13,common_voice_es_19728156.mp3,se refiere a las interacciones entre la política tecnología y cultura,interactions between politics technology and culture,it refers to the interactions between politics technology and culture,BLEU = 51.34 100.0/100.0/100.0/100.0 (BP = 0.513 ratio = 0.600 hyp_len = 6 ref_len = 10),0.8874751329421997,0.6235532407407408,4.504899024963379
14,14,common_voice_es_19610984.mp3,algunas de las obras forman parte del repertorio regular de los grupos musicales turcos,home works are part of the regular repertory of turkish musical groups,some compositions are part of the regular repertoire of turkish music groups,BLEU = 37.70 66.7/45.5/30.0/22.2 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12),0.8315756916999817,0.7458847736625513,4.4961700439453125
15,15,common_voice_es_19768072.mp3,su contacto puede producir quemaduras en la piel y daños en los ojos,it can produce water only,touching it may cause skin burns and ocular damage,BLEU = 4.80 20.0/12.5/8.3/6.2 (BP = 0.449 ratio = 0.556 hyp_len = 5 ref_len = 9),0.379079669713974,0.05813953488372093,2.9217963218688965
16,16,common_voice_es_19610251.mp3,entonces la hoz quedó suspendida en el aire,however the house was suspended in the air,thus the sickle was suspended in the air,BLEU = 54.11 75.0/57.1/50.0/40.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),0.7236974239349365,0.7361111111111112,3.491824150085449
17,17,common_voice_es_19715383.mp3,charles francis adams,im afraid its,charles francis adams,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),0.38056719303131104,0.0,2.3084299564361572
18,18,common_voice_es_19956466.mp3,el espacio se acompaña por las propias reflexiones de labordeta sobre los lugares visitados,space is accompanied by reflections on the visited places,the space is guided by labordetas own reflections on the places visited,BLEU = 17.98 88.9/37.5/14.3/8.3 (BP = 0.717 ratio = 0.750 hyp_len = 9 ref_len = 12),0.77119380235672,0.6002938034188035,4.049124717712402
19,19,common_voice_es_20064421.mp3,lo cual era y es cercano a mí,he was and he was a friend,this made him close to me and he still is,BLEU = 8.56 28.6/16.7/10.0/6.2 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10),0.5365732312202454,0.19329896907216493,3.310258388519287
