,Prediction,Gold,ASR_BLEU
0,i havent seen it,i havent seen him,BLEU = 59.46 75.0/66.7/50.0/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
1,you look very like one standing do you have a date with someone,i see you very well dressed are you going to see anyone,BLEU = 4.07 23.1/4.2/2.3/1.2 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
2,portcullis are frequently free,because of you the entire security of our universe is in danger,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.135 ratio = 0.333 hyp_len = 4 ref_len = 12)
3,because he loves us julia,because he loves us julia,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
4,you were miles and miles from your cozy and to bed,and you are miles and miles away from your pretty and warm bed,BLEU = 16.45 72.7/30.0/11.1/6.2 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
5,i have no one here,im not in a hurry,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
6,get off to the gullet i whine,get out of the gallery you donkey,BLEU = 7.81 28.6/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
7,lets see pallamarus i think being a priest is not,lets see palomares i think that being a priest its not,BLEU = 21.48 80.0/44.4/12.5/7.1 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11)
8,ricardo do me a favor go to the bridge,ricardo do me a favor go to the control bridge,BLEU = 79.56 100.0/87.5/85.7/83.3 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
9,he cried at his loves and his loves with the white lady of the harp,mourned over the moorish jealousy and loves with the white moon of the alpujarra,BLEU = 20.33 46.7/28.6/15.4/8.3 (BP = 1.000 ratio = 1.071 hyp_len = 15 ref_len = 14)
10,his friends are likely mooed by the late,that group of friends likes to eat ice creams in the afternoon,BLEU = 3.98 25.0/7.1/4.2/2.5 (BP = 0.607 ratio = 0.667 hyp_len = 8 ref_len = 12)
11,the professor approached the dramatist in very little content,my teacher cares too much about grammar and too little about content,BLEU = 4.06 22.2/6.2/3.6/2.1 (BP = 0.717 ratio = 0.750 hyp_len = 9 ref_len = 12)
12,seems to be true,actually you are too cool,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
13,conferences had to miss,everyone was already bored at the middle of the conference,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.223 ratio = 0.400 hyp_len = 4 ref_len = 10)
14,lets be in earnest,keep your chin up,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
15,good coming from few words,a word to the wise is enough,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.670 ratio = 0.714 hyp_len = 5 ref_len = 7)
16,many like dogs,i dont like dogs so much,BLEU = 20.25 66.7/50.0/50.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 3 ref_len = 6)
17,some blast white arms,paid money arms crossed,BLEU = 15.97 25.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
18,let elisa was still anchored under the castle of yule,dalila continued anchored under the ulua castle,BLEU = 16.78 40.0/22.2/12.5/7.1 (BP = 1.000 ratio = 1.429 hyp_len = 10 ref_len = 7)
