,Prediction,Gold,ASR_BLEU
0,first one is dedicated to saint benedict and to possessions,the third day is dedicated to st george a day of processions,BLEU = 12.79 30.0/22.2/12.5/7.1 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
1,he received orders for this action,they were awarded two prizes for that performance,BLEU = 5.82 16.7/10.0/6.2/4.2 (BP = 0.717 ratio = 0.750 hyp_len = 6 ref_len = 8)
2,his spirituality was intense and he left in his majority only the bible,his spirituality was intense and he read mostly the bible only,BLEU = 44.08 69.2/50.0/36.4/30.0 (BP = 1.000 ratio = 1.182 hyp_len = 13 ref_len = 11)
3,the species is known simply as the spear or amazon simply as the spear,this species is known simply as suspiro ramoso or simply as suspiro,BLEU = 31.61 57.1/38.5/25.0/18.2 (BP = 1.000 ratio = 1.167 hyp_len = 14 ref_len = 12)
4,cascade is about the entrance of the cave,a waterfall falls upon the entrance to the cave,BLEU = 13.78 50.0/28.6/8.3/5.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
5,enters in the cycle,you enter in this whore cycle,BLEU = 11.52 50.0/16.7/12.5/12.5 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
6,it is necessary that you can be translated to another place where you consider the organization,it means that they can be moved to another place at the discretion of the organization,BLEU = 14.25 56.2/26.7/7.1/3.8 (BP = 1.000 ratio = 1.000 hyp_len = 16 ref_len = 16)
7,it belongs to the church of the demand in the centre of the infants,it belongs to sierra de la demanda town which has its capital seat at sala de los infantes,BLEU = 7.94 21.4/15.4/8.3/4.5 (BP = 0.751 ratio = 0.778 hyp_len = 14 ref_len = 18)
8,our comedies and the spanish intrigues were surgical,the italian comedy commedia dell arte and the spanish interludes came into existence,BLEU = 11.00 37.5/28.6/16.7/10.0 (BP = 0.535 ratio = 0.615 hyp_len = 8 ref_len = 13)
9,society appears to be divided into fundamentalists reformers and legists,the society is divided into fundamentalists reformists and secular,BLEU = 17.75 50.0/22.2/12.5/7.1 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
10,he was the co ordinator of independent poses and infant infant,she was the coordinator of independent workshops of poetry and children stories,BLEU = 10.23 45.5/20.0/5.6/3.1 (BP = 0.913 ratio = 0.917 hyp_len = 11 ref_len = 12)
11,spiritism,the spirit is on the head,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.007 ratio = 0.167 hyp_len = 1 ref_len = 6)
12,once adult the brilliance of the colors is intense,as an adult the brightness of the colors fades,BLEU = 22.32 55.6/37.5/14.3/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
13,has the iroquois river a river or a river,uruguay river basin golden stream and fortress stream,BLEU = 4.77 11.1/6.2/3.6/2.1 (BP = 1.000 ratio = 1.125 hyp_len = 9 ref_len = 8)
14,there are few bastards,a word to the wise is enough,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.472 ratio = 0.571 hyp_len = 4 ref_len = 7)
15,he made amends anita had his son stanley and amanda,he married amanda nieto and had two children stanley and amanda,BLEU = 16.06 50.0/22.2/12.5/7.1 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11)
16,he was a professor in a school located in trodham,he was a teacher in a school in trondheim,BLEU = 27.30 70.0/44.4/25.0/7.1 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
17,you cant supervise it if you do it you can do it directly,not being able to overcome the decline they had to get down immediately,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 13 ref_len = 13)
18,he promoted administrative reforms and created a more receptive mania to foreign interests,by proclaiming appropriate political reforms he made burma receptive to international affairs,BLEU = 4.37 30.8/4.2/2.3/1.2 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
19,the other suffers from annihilation and during this time his love was brandished,beba has amnesia and during this time her love for brando grows,BLEU = 20.45 38.5/25.0/18.2/10.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
20,he was culpable in his regressed aroma,he was found guilty upon his return to rome,BLEU = 10.92 42.9/16.7/10.0/6.2 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
21,he is currantly a catalogue of the super municipality,it is currently mayor of the municipality of sucre,BLEU = 11.34 44.4/12.5/7.1/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
22,each one of them used the initials of their concert,each of them would use the initials of their spouses,BLEU = 32.47 70.0/44.4/25.0/14.3 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10)
23,the parochial life and the mandate are very similar to one another,there are strong bonds in parish life and in the brotherhood,BLEU = 8.05 33.3/9.1/5.0/2.8 (BP = 1.000 ratio = 1.091 hyp_len = 12 ref_len = 11)
24,or if that was offered by the valencia deputation,this work was funded by the provincial department of valencia,BLEU = 10.15 44.4/12.5/7.1/4.2 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
25,has its name,its based in mcallen,BLEU = 19.72 33.3/25.0/25.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4)
26,he could sing but for some parts his voice was not sufficiently good,ann knew how to sing but her voice was not good enough for some parts,BLEU = 19.40 69.2/41.7/18.2/5.0 (BP = 0.857 ratio = 0.867 hyp_len = 13 ref_len = 15)
27,experimented with luminous effects and accentuation of profundity in these levels,they carried out experiments by using light effects and by highlighting deep backgrounds at these level,BLEU = 5.27 27.3/10.0/5.6/3.1 (BP = 0.635 ratio = 0.688 hyp_len = 11 ref_len = 16)
28,is between a period of two or three years in contact with the public,hes one of the journalists who spend the most time in contact with the audience,BLEU = 17.50 35.7/23.1/16.7/9.1 (BP = 0.931 ratio = 0.933 hyp_len = 14 ref_len = 15)
29,the recruits may be used for the use of vehicles,the recruits improved their ability to drive vehicles,BLEU = 9.29 30.0/11.1/6.2/3.6 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8)
30,the english language historian,its a historicist speaking church,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
31,he was a private and private actor,he worked in the public and private sectors,BLEU = 12.60 42.9/16.7/10.0/6.2 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
32,apparently he is in the deportment of union of power,currently he coaches union deportiva fraga,BLEU = 4.99 20.0/5.6/3.1/1.8 (BP = 1.000 ratio = 1.667 hyp_len = 10 ref_len = 6)
33,we must use systems of the following,the two most frequently used systems are the following ones,BLEU = 9.47 42.9/16.7/10.0/6.2 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
34,the contractor started with the use of arms,with heavy weaponry it prepared its counterattack,BLEU = 5.52 12.5/7.1/4.2/2.5 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7)
35,im president of the show,their current president is mrs,BLEU = 10.68 20.0/12.5/8.3/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
36,is the current past of the mystery that completed in the following years,the first mystery series which would be completed in the following years is launched these days,BLEU = 25.82 61.5/33.3/27.3/20.0 (BP = 0.794 ratio = 0.812 hyp_len = 13 ref_len = 16)
37,in his first example he appeared the type of a quadrumana always is notified,the very first copy was entitled osorno is in the headlines all the time,BLEU = 4.02 28.6/3.8/2.1/1.1 (BP = 1.000 ratio = 1.000 hyp_len = 14 ref_len = 14)
38,nicolas was master of the island of megrims,nicolas was a native of the island of negroponte,BLEU = 36.28 75.0/57.1/33.3/20.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
39,this energy necessitated,this net power gain would cause heating,BLEU = 7.25 33.3/25.0/25.0/0.0 (BP = 0.264 ratio = 0.429 hyp_len = 3 ref_len = 7)
40,the fruits can be nourished,as per roman law benefits can be either organic or civil,BLEU = 6.43 40.0/25.0/16.7/12.5 (BP = 0.301 ratio = 0.455 hyp_len = 5 ref_len = 11)
41,brother and his companions did not do it,neither their brother nor their partners doubted about it,BLEU = 5.80 25.0/7.1/4.2/2.5 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
42,the iroquois league of football play is always disputed during the war,the uruguayan beach soccer league was always played in summer,BLEU = 4.46 25.0/4.5/2.5/1.4 (BP = 1.000 ratio = 1.200 hyp_len = 12 ref_len = 10)
43,in this way the intercession by has been allowed to increase its competitiveness in sustainable ways,in this way the interoceanic route has managed to increment competitiveness in a sustainable way,BLEU = 20.15 56.2/26.7/14.3/7.7 (BP = 1.000 ratio = 1.067 hyp_len = 16 ref_len = 15)
44,it is essentially frankness,in essence the population is french speaker,BLEU = 7.55 25.0/16.7/12.5/12.5 (BP = 0.472 ratio = 0.571 hyp_len = 4 ref_len = 7)
45,in the afternoon there was a row of light and juvenile lights very alive and very happy,a ray of sunshine so playful alive and joyful penetrated in the bedroom,BLEU = 7.16 35.3/12.5/3.3/1.8 (BP = 1.000 ratio = 1.308 hyp_len = 17 ref_len = 13)
46,he studied at the trinity college of cambridge united states,they studied law at the trinity college in cambridge reino unido,BLEU = 26.31 60.0/33.3/25.0/14.3 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11)
47,storm is going on in the cold,the storm brings us the coolness,BLEU = 7.81 28.6/8.3/5.0/3.1 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6)
48,the council celebrated this feast in september,on september the council holds its festivities,BLEU = 14.54 42.9/16.7/10.0/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
49,see if there is no knight,lets see if tonight snows,BLEU = 16.23 33.3/20.0/12.5/8.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
50,ive a snugglers knuckle replaces the painting bowls of the reels,however chucky replaces the paint bullets on the weapons with real munitions,BLEU = 7.57 27.3/10.0/5.6/3.1 (BP = 0.913 ratio = 0.917 hyp_len = 11 ref_len = 12)
