,Prediction,Gold,ASR_BLEU
0,theyre a parsa maniac and theyre a parsa maniac,its upper parts are mainly black and its lower parts are mainly white,BLEU = 3.06 11.1/6.2/3.6/2.1 (BP = 0.641 ratio = 0.692 hyp_len = 9 ref_len = 13)
1,we have a prison where we ask for the place,hurry up or well miss the plane,BLEU = 4.20 10.0/5.6/3.1/1.8 (BP = 1.000 ratio = 1.429 hyp_len = 10 ref_len = 7)
2,well it was there is history,alright its done its now history,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
3,it is called the name of umarabellah the second caliph of islam,it bears the name of the second caliph of the islam umar ibn al jattab,BLEU = 25.43 75.0/45.5/30.0/11.1 (BP = 0.779 ratio = 0.800 hyp_len = 12 ref_len = 15)
4,he is characterized by being a doctor,it is characterized for been a reducer,BLEU = 14.54 42.9/16.7/10.0/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
5,educated in europe he started his career in italy,she studied in europe and started her professional career in italy,BLEU = 18.70 66.7/37.5/14.3/8.3 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11)
6,hes located in bellies,it is in belize,BLEU = 15.97 25.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
7,shes called cassandra,the set is named the helmet of the farm,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.135 ratio = 0.333 hyp_len = 3 ref_len = 9)
8,ambergris and hermopolis parva,greek name hermopolis parva,BLEU = 31.95 50.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
9,the frolic selection he has won taffrails,with the national pharaoh team he managed to win twice the african champions cup,BLEU = 2.87 28.6/8.3/5.0/3.1 (BP = 0.368 ratio = 0.500 hyp_len = 7 ref_len = 14)
10,characters of their antecedents in a very ancient confederacy,the characters have their background in a past frequently old,BLEU = 10.15 44.4/12.5/7.1/4.2 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
11,he is a talented inventor and a natural strategy,he is a talented inventor and a natural strategist,BLEU = 86.33 88.9/87.5/85.7/83.3 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
12,holograph and spanish bibliograph,spanish polygraph and bibliographer,BLEU = 19.00 50.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
13,he is in all the south of the province of castile,it is spoken throughout the province of castellon,BLEU = 14.99 36.4/20.0/11.1/6.2 (BP = 1.000 ratio = 1.375 hyp_len = 11 ref_len = 8)
14,is part of the installation that receives energy from the exterior,that side of the facility that is powered from the exterior,BLEU = 19.08 63.6/30.0/11.1/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
15,can be completed in sardino or anchovy,you can complete it putting on the top sardines or anchovies,BLEU = 4.41 28.6/8.3/5.0/3.1 (BP = 0.565 ratio = 0.636 hyp_len = 7 ref_len = 11)
16,he didnt participate in any posterior election and he got dissolved,he didnt participated in any later election and it ended up been dissolved,BLEU = 11.25 63.6/30.0/5.6/3.1 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
17,camels with enclosures are very dissolute,seeds with highly developed endosperm,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
18,he has an observatory name confidant persistence and a bad name,jae ha is an observer confident persistent and loves beauty,BLEU = 4.46 18.2/5.0/2.8/1.6 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
19,many works made by the sculptor occupy public spaces and public and private collections,many of the works made by the sculptor are exhibited in public places and also in public and private collections,BLEU = 31.17 85.7/53.8/41.7/27.3 (BP = 0.651 ratio = 0.700 hyp_len = 14 ref_len = 20)
20,second design was to have the murderer in front of the pile,the second design was to have the motor in front of the driver,BLEU = 58.34 83.3/72.7/60.0/44.4 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
21,is buried in the cemetery of the chicarato of buenos ayres,he is buried in chacarita cemetery in buenos aires,BLEU = 15.85 45.5/20.0/11.1/6.2 (BP = 1.000 ratio = 1.222 hyp_len = 11 ref_len = 9)
